,graph,cuts,vertices,edges,time
0,er_100_120_0.csv,3600.0,120,7140,160.28125
1,er_100_120_1.csv,3600.0,120,7140,161.03125
2,er_100_120_2.csv,3600.0,120,7140,161.375
3,er_100_120_3.csv,3600.0,120,7140,161.390625
4,er_100_160_0.csv,6400.0,160,12720,344.609375
5,er_100_160_1.csv,6400.0,160,12720,348.828125
6,er_100_160_2.csv,6400.0,160,12720,347.1875
7,er_100_160_3.csv,6400.0,160,12720,347.984375
8,er_100_200_0.csv,10000.0,200,19900,637.140625
9,er_100_200_1.csv,10000.0,200,19900,639.671875
10,er_100_200_2.csv,10000.0,200,19900,631.640625
11,er_100_200_3.csv,10000.0,200,19900,635.8125
12,er_100_40_0.csv,400.0,40,780,12.359375
13,er_100_40_1.csv,400.0,40,780,12.1875
14,er_100_40_2.csv,400.0,40,780,12.578125
15,er_100_40_3.csv,400.0,40,780,12.640625
16,er_100_80_0.csv,1600.0,80,3160,56.3125
17,er_100_80_1.csv,1600.0,80,3160,56.78125
18,er_100_80_2.csv,1600.0,80,3160,57.421875
19,er_100_80_3.csv,1600.0,80,3160,56.25
20,er_60_120_0.csv,2265.0,120,4305,100.5
21,er_60_120_1.csv,2262.0,120,4292,99.921875
22,er_60_120_2.csv,2274.0,120,4286,102.78125
23,er_60_120_3.csv,2244.0,120,4247,98.765625
24,er_60_160_0.csv,3977.0,160,7652,214.703125
25,er_60_160_1.csv,3973.0,160,7665,215.8125
26,er_60_160_2.csv,3998.0,160,7639,210.984375
27,er_60_160_3.csv,3943.0,160,7612,213.34375
28,er_60_200_0.csv,6176.0,200,11991,391.734375
29,er_60_200_1.csv,6212.0,200,12000,394.625
30,er_60_200_2.csv,6194.0,200,11996,390.96875
31,er_60_200_3.csv,6177.0,200,11944,387.8125
32,er_60_40_0.csv,269.0,40,476,9.34375
33,er_60_40_1.csv,268.0,40,464,9.453125
34,er_60_40_2.csv,263.0,40,451,8.984375
35,er_60_40_3.csv,266.0,40,469,9.234375
36,er_60_80_0.csv,1038.0,80,1910,38.46875
37,er_60_80_1.csv,1027.0,80,1886,37.921875
38,er_60_80_2.csv,1017.0,80,1894,38.03125
39,er_60_80_3.csv,1040.0,80,1929,38.28125
40,er_70_120_0.csv,2643.0,120,5019,118.46875
41,er_70_120_1.csv,2617.0,120,5028,119.6875
42,er_70_120_2.csv,2592.0,120,4941,116.140625
43,er_70_120_3.csv,2612.0,120,5016,116.21875
44,er_70_160_0.csv,4645.0,160,8925,245.5
45,er_70_160_1.csv,4636.0,160,8956,248.75
46,er_70_160_2.csv,4573.0,160,8842,245.171875
47,er_70_160_3.csv,4601.0,160,8892,246.703125
48,er_70_200_0.csv,7141.0,200,13911,449.78125
49,er_70_200_1.csv,7223.0,200,13972,452.390625
50,er_70_200_2.csv,7125.0,200,13853,453.21875
51,er_70_200_3.csv,7198.0,200,14017,452.40625
52,er_70_40_0.csv,320.0,40,560,10.21875
53,er_70_40_1.csv,293.0,40,512,9.671875
54,er_70_40_2.csv,298.0,40,533,9.953125
55,er_70_40_3.csv,303.0,40,545,9.828125
56,er_70_80_0.csv,1163.0,80,2176,41.421875
57,er_70_80_1.csv,1160.0,80,2190,41.671875
58,er_70_80_2.csv,1191.0,80,2223,42.421875
59,er_70_80_3.csv,1176.0,80,2223,41.875
60,er_80_120_0.csv,2971.0,120,5751,129.078125
61,er_80_120_1.csv,2972.0,120,5693,127.578125
62,er_80_120_2.csv,2903.0,120,5629,126.953125
63,er_80_120_3.csv,2961.0,120,5704,128.625
64,er_80_160_0.csv,5221.0,160,10139,276.234375
65,er_80_160_1.csv,5238.0,160,10223,278.234375
66,er_80_160_2.csv,5206.0,160,10144,276.4375
67,er_80_160_3.csv,5216.0,160,10139,274.625
68,er_80_200_0.csv,8156.0,200,15969,510.390625
69,er_80_200_1.csv,8121.0,200,15885,507.453125
70,er_80_200_2.csv,8143.0,200,15901,505.78125
71,er_80_200_3.csv,8141.0,200,15946,510.15625
72,er_80_40_0.csv,343.0,40,624,10.921875
73,er_80_40_1.csv,341.0,40,622,10.625
74,er_80_40_2.csv,339.0,40,618,10.9375
75,er_80_40_3.csv,344.0,40,631,11.046875
76,er_80_80_0.csv,1341.0,80,2545,48.484375
77,er_80_80_1.csv,1328.0,80,2512,47.53125
78,er_80_80_2.csv,1327.0,80,2526,47.546875
79,er_80_80_3.csv,1336.0,80,2522,47.8125
80,er_90_120_0.csv,3317.0,120,6481,144.96875
81,er_90_120_1.csv,3307.0,120,6431,142.484375
82,er_90_120_2.csv,3310.0,120,6468,144.09375
83,er_90_120_3.csv,3287.0,120,6418,143.171875
84,er_90_160_0.csv,5832.0,160,11445,333.078125
85,er_90_160_1.csv,5855.0,160,11475,307.0625
86,er_90_160_2.csv,5821.0,160,11420,308.84375
87,er_90_160_3.csv,5845.0,160,11435,313.078125
88,er_90_200_0.csv,9108.0,200,17930,572.890625
89,er_90_200_1.csv,9086.0,200,17884,571.265625
90,er_90_200_2.csv,9113.0,200,17907,571.421875
91,er_90_200_3.csv,9139.0,200,17979,576.25
92,er_90_40_0.csv,373.0,40,700,11.828125
93,er_90_40_1.csv,381.0,40,711,11.78125
94,er_90_40_2.csv,378.0,40,707,11.71875
95,er_90_40_3.csv,381.0,40,707,11.5
96,er_90_80_0.csv,1469.0,80,2819,53.359375
97,er_90_80_1.csv,1474.0,80,2828,52.046875
98,er_90_80_2.csv,1490.0,80,2867,51.71875
99,er_90_80_3.csv,1480.0,80,2859,52.53125
