,graph,cuts,best_partition,generations,vertices,edges,time,depth,g_max,mutation,population
0,g05_100_0.csv,1284,"[0, 1, 3, 5, 6, 7, 9, 11, 13, 17, 19, 25, 26, 27, 29, 30, 31, 32, 37, 39, 45, 46, 47, 48, 50, 53, 56, 57, 61, 62, 66, 67, 68, 71, 73, 75, 76, 79, 81, 83, 86, 10, 55, 82, 44, 60, 78, 87, 92, 91]",51,100,2475,41.09375,10,60,0.5,6
1,g05_100_1.csv,1297,"[8, 10, 22, 23, 25, 7, 27, 21, 1, 2, 4, 5, 6, 9, 11, 14, 15, 16, 19, 20, 28, 30, 32, 33, 34, 40, 47, 51, 52, 54, 55, 60, 61, 63, 64, 65, 69, 72, 73, 74, 75, 76, 77, 78, 80, 85, 87, 88, 95, 97]",34,100,2475,22.296875,10,60,0.5,6
2,g05_100_2.csv,1281,"[23, 16, 21, 26, 27, 35, 6, 3, 7, 8, 10, 18, 22, 24, 37, 43, 46, 52, 53, 56, 61, 62, 64, 66, 68, 71, 72, 2, 5, 9, 19, 20, 33, 48, 49, 59, 70, 78, 81, 84, 89, 90, 93, 98]",16,100,2475,27.765625,10,60,0.5,6
3,g05_100_3.csv,1270,"[17, 1, 16, 21, 30, 2, 4, 5, 6, 8, 9, 11, 15, 19, 23, 24, 25, 26, 27, 29, 34, 38, 39, 41, 42, 45, 48, 49, 52, 55, 58, 61, 62, 64, 65, 70, 72, 73, 79, 10, 20, 81, 89, 12, 63, 68]",33,100,2475,32.078125,10,60,0.5,6
4,g05_100_4.csv,1289,"[1, 4, 5, 8, 14, 15, 19, 23, 24, 27, 29, 41, 45, 47, 49, 52, 60, 62, 63, 64, 65, 67, 68, 69, 70, 11, 12, 32, 34, 66, 2, 17, 35, 43, 44, 51, 53, 58, 61, 77, 3, 28, 37, 38, 91, 93]",19,100,2475,36.109375,10,60,0.5,6
5,g05_100_5.csv,1282,"[4, 6, 15, 30, 18, 1, 3, 14, 16, 20, 37, 38, 42, 46, 5, 9, 19, 21, 24, 25, 29, 39, 40, 43, 47, 49, 57, 59, 71, 74, 77, 80, 17, 27, 28, 31, 33, 34, 50, 51, 53, 62, 72, 76, 84]",8,100,2475,28.796875,10,60,0.5,6
6,g05_100_6.csv,1274,"[1, 4, 5, 6, 9, 10, 13, 18, 20, 21, 22, 26, 34, 36, 38, 39, 40, 42, 43, 44, 47, 49, 53, 55, 56, 58, 60, 61, 62, 63, 69, 70, 72, 73, 74, 77, 78, 85, 15, 29, 2, 3, 37, 48, 66, 68, 71]",39,100,2475,28.375,10,60,0.5,6
7,g05_100_7.csv,1282,"[5, 3, 13, 15, 24, 35, 39, 41, 21, 22, 44, 7, 23, 25, 48, 0, 1, 2, 4, 6, 12, 20, 26, 30, 34, 36, 46, 50, 52, 58, 59, 61, 62, 64, 75, 77, 9, 19, 40, 53, 56, 81, 10, 37, 83]",26,100,2475,29.375,10,60,0.5,6
8,g05_100_8.csv,1319,"[5, 1, 4, 6, 8, 9, 11, 16, 19, 20, 21, 22, 26, 29, 30, 35, 36, 38, 39, 42, 43, 45, 50, 51, 52, 55, 56, 59, 60, 61, 63, 65, 67, 68, 70, 71, 72, 73, 74, 75, 76, 79, 88, 90, 92, 95, 97, 91]",37,100,2475,29.796875,10,60,0.5,6
9,g05_100_9.csv,1263,"[18, 12, 11, 1, 2, 3, 5, 8, 9, 14, 15, 19, 22, 24, 26, 29, 30, 31, 35, 37, 42, 44, 48, 49, 54, 60, 63, 70, 71, 72, 74, 76, 79, 81, 84, 6, 21, 25, 33, 41, 61, 68, 91]",29,100,2475,25.890625,10,60,0.5,6
