,graph,cuts,best_R,best_L,best_V,generations,vertices,edges,time,depth,g_max,mutation,population
0,g05_100_0.csv,1286,"[19, 2, 3, 9, 10, 15, 16, 17, 24, 25, 27, 28, 30, 31, 33, 36, 37, 38, 42, 43, 44, 47, 52, 54, 59, 61, 6, 8, 14, 22, 40, 41, 50, 51, 60, 62, 69, 70, 79, 80, 83, 87, 12, 23, 26, 91]","[0, 1, 4, 5, 7, 11, 13, 18, 20, 21, 29, 32, 35, 45, 49, 56, 57, 58, 63, 64, 65, 66, 68, 74, 75, 77, 88, 93, 94]","[34, 39, 46, 48, 53, 55, 67, 71, 72, 73, 76, 78, 81, 82, 84, 85, 86, 89, 90, 92, 95, 96, 97, 98, 99]",25,100,2475,10.75,10,40,0.5,6
1,g05_100_1.csv,1289,"[7, 34, 16, 36, 28, 38, 4, 14, 17, 25, 37, 0, 2, 3, 5, 6, 18, 19, 22, 23, 24, 30, 31, 46, 49, 52, 53, 64, 67, 69, 1, 27, 35, 39, 42, 55, 56, 59, 77, 83, 9, 32, 40, 47, 51, 54, 60, 78]","[10, 11, 12, 13, 15, 20, 21, 26, 29, 33, 41, 48, 50, 57, 63, 66, 68, 71, 82, 87]","[8, 43, 44, 45, 58, 61, 62, 65, 70, 72, 73, 74, 75, 76, 79, 80, 81, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",23,100,2475,9.1875,10,40,0.5,6
2,g05_100_2.csv,1272,"[1, 5, 6, 11, 12, 13, 14, 20, 23, 25, 26, 27, 29, 32, 35, 37, 38, 39, 43, 45, 46, 49, 53, 54, 57, 59, 62, 63, 64, 66, 70, 71, 76, 77, 80, 81, 82, 2, 8, 22, 28, 44, 48, 51, 97, 98]","[0, 3, 4, 7, 9, 10, 15, 16, 17, 18, 19, 21, 24, 30, 31, 33, 34, 36, 40, 41, 42, 47, 50, 52, 55, 56, 58, 61, 65, 68, 69, 72, 73, 74, 75, 78, 79, 83]","[60, 67, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 99]",8,100,2475,8.515625,10,40,0.5,6
3,g05_100_3.csv,1275,"[2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 20, 23, 26, 28, 33, 34, 35, 38, 40, 41, 46, 47, 49, 50, 52, 56, 57, 59, 60, 62, 63, 65, 66, 67, 68, 73, 81, 82, 84, 90, 91, 93, 94, 95, 96, 97, 98]","[0, 1, 6, 8, 10, 13, 18, 19, 21, 24, 25, 29, 30, 31, 32, 36, 37, 39, 42, 43, 44, 45, 48, 51, 53, 54, 55, 58, 61, 64, 69, 70, 71, 72, 74, 75, 76, 77, 78, 79, 80, 83, 85, 86, 87, 88, 89, 92, 99]","[22, 27]",37,100,2475,7.015625,10,40,0.5,6
4,g05_100_4.csv,1270,"[1, 4, 5, 6, 7, 9, 10, 12, 18, 19, 20, 21, 24, 25, 27, 28, 29, 30, 32, 34, 39, 40, 42, 43, 44, 47, 50, 51, 56, 57, 58, 62, 65, 66, 70, 71, 73, 75, 77, 78, 79, 83, 84, 89, 91, 95, 72, 14]","[0, 2, 3, 8, 11, 13, 16, 17, 26, 31, 33, 35, 36, 45, 46, 53, 54, 59, 60, 61, 64, 67, 69, 81, 82, 87, 88, 90, 92, 93, 99]","[15, 22, 23, 37, 38, 41, 48, 49, 52, 55, 63, 68, 74, 76, 80, 85, 86, 94, 96, 97, 98]",36,100,2475,10.875,10,40,0.5,6
5,g05_100_5.csv,1285,"[12, 13, 9, 11, 15, 16, 21, 25, 27, 29, 30, 34, 39, 49, 51, 17, 0, 3, 4, 7, 18, 19, 22, 23, 24, 41, 43, 47, 50, 54, 56, 58, 62, 63, 64, 67, 68, 69, 72, 74, 77, 78, 80, 82, 89, 37, 36]","[1, 2, 5, 6, 8, 14, 26, 31, 32, 33, 35, 38, 42, 44, 45, 46, 59, 60, 61, 65, 66, 76, 81, 83, 84, 85, 87]","[10, 20, 28, 40, 48, 52, 53, 55, 57, 70, 71, 73, 75, 79, 86, 88, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",18,100,2475,12.234375,10,40,0.5,6
6,g05_100_6.csv,1269,"[7, 16, 2, 8, 11, 15, 20, 21, 26, 29, 33, 0, 1, 4, 6, 9, 10, 12, 13, 17, 19, 24, 34, 35, 38, 39, 41, 51, 55, 56, 60, 62, 69, 71, 73, 74, 75, 78, 81, 82, 83, 87, 88, 94, 3, 37, 66]","[5, 14, 18, 23, 25, 27, 28, 31, 32, 36, 40, 44, 45, 47, 48, 49, 54, 57, 61, 63, 64, 65, 70, 79, 85, 91, 92, 95]","[22, 30, 42, 43, 46, 50, 52, 53, 58, 59, 67, 68, 72, 76, 77, 80, 84, 86, 89, 90, 93, 96, 97, 98, 99]",38,100,2475,10.0625,10,40,0.5,6
7,g05_100_7.csv,1279,"[2, 3, 15, 16, 21, 24, 26, 29, 43, 44, 45, 50, 6, 5, 7, 10, 27, 28, 30, 37, 46, 47, 61, 12, 13, 25, 36, 38, 41, 51, 52, 60, 64, 72, 76, 82, 1, 9, 19, 34, 35, 54, 56, 85, 88, 92, 57]","[0, 4, 8, 11, 14, 17, 18, 20, 22, 23, 31, 33, 39, 42, 48, 49, 59, 62, 65, 66, 71, 84, 97]","[32, 40, 53, 55, 58, 63, 67, 68, 69, 70, 73, 74, 75, 77, 78, 79, 80, 81, 83, 86, 87, 89, 90, 91, 93, 94, 95, 96, 98, 99]",23,100,2475,10.703125,10,40,0.5,6
8,g05_100_8.csv,1292,"[7, 11, 16, 1, 4, 6, 8, 9, 19, 20, 21, 22, 26, 29, 30, 35, 36, 38, 39, 42, 43, 45, 50, 51, 52, 55, 56, 59, 60, 63, 65, 67, 68, 70, 71, 72, 73, 74, 75, 76, 88, 90, 92, 95, 97, 91]","[0, 2, 3, 5, 10, 12, 13, 14, 15, 17, 18, 24, 25, 27, 28, 31, 32, 33, 37, 40, 41, 44, 47, 48, 49, 53, 57, 58, 64, 66, 69, 78, 81, 83, 84, 85, 89, 93, 98]","[23, 34, 46, 54, 61, 62, 77, 79, 80, 82, 86, 87, 94, 96, 99]",37,100,2475,9.671875,10,40,0.5,6
9,g05_100_9.csv,1277,"[20, 0, 2, 3, 8, 10, 15, 19, 22, 23, 26, 32, 34, 35, 37, 39, 40, 45, 47, 48, 52, 56, 57, 58, 59, 60, 4, 9, 28, 43, 53, 6, 30, 31, 36, 46, 49, 50, 54, 62, 76, 77, 78, 80, 83, 86, 33, 41, 61, 68]","[5, 7, 11, 12, 13, 14, 16, 17, 18, 21, 24, 25, 27, 29, 38, 42, 44, 51, 55, 81, 82, 87, 91, 97]","[1, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 79, 84, 85, 88, 89, 90, 92, 93, 94, 95, 96, 98, 99]",1,100,2475,9.46875,10,40,0.5,6
