,parameters,median best,best list,median history,median pop history
0,"[50, 60, 0.5, 0.3]",502.0,"[499, 502, 505]","[471, 471, 474, 474, 474, 484, 484, 484, 484, 485, 486, 486, 489, 489, 491, 494, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 502, 502, 502, 502, 502, 502, 502, 502, 502]","[442.0, 451.0, 455.0, 457.0, 459.0, 460.5, 464.0, 466.0, 468.0, 471.0, 474.5, 476.5, 478.5, 479.0, 482.5, 483.0, 485.0, 486.5, 488.0, 489.0, 489.0, 490.0, 490.0, 490.0, 490.0, 490.5, 490.5, 491.0, 492.0, 492.0, 492.0, 492.0, 492.0, 492.0, 492.0, 492.0, 492.5, 493.0, 494.0, 494.0, 494.0, 494.0, 494.0, 494.0, 496.0, 496.0, 496.0, 497.0, 497.0, 497.0, 497.0, 497.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0]"
1,"[50, 60, 0.5, 0.6]",502.0,"[502, 502, 496]","[467, 467, 476, 476, 476, 479, 489, 489, 489, 492, 492, 492, 493, 493, 493, 493, 493, 496, 496, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 500, 500, 500, 500, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502]","[442.0, 449.0, 454.5, 457.0, 460.5, 462.5, 464.0, 465.5, 468.0, 470.0, 470.0, 471.5, 472.0, 474.5, 477.5, 479.0, 480.0, 481.0, 482.5, 486.0, 487.5, 488.0, 489.0, 490.0, 490.0, 492.0, 493.0, 493.0, 495.0, 495.0, 495.0, 495.0, 496.0, 497.0, 497.0, 497.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
2,"[50, 60, 0.4, 0.3]",506.0,"[506, 501, 507]","[467, 477, 477, 478, 482, 486, 486, 486, 486, 486, 486, 486, 494, 494, 494, 499, 499, 499, 499, 499, 500, 500, 500, 500, 500, 500, 500, 503, 503, 503, 503, 503, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506]","[445.5, 453.5, 457.0, 462.0, 465.5, 467.0, 470.0, 473.0, 476.0, 477.0, 477.0, 478.0, 479.0, 480.0, 482.0, 483.0, 484.5, 485.5, 486.0, 487.5, 490.0, 491.0, 491.0, 491.5, 492.0, 493.0, 493.0, 495.0, 496.0, 497.0, 497.0, 497.0, 497.0, 497.5, 499.0, 499.0, 500.0, 502.0, 503.0, 503.0, 503.0, 503.0, 503.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0, 506.0]"
3,"[50, 60, 0.4, 0.6]",496.0,"[504, 496, 494]","[465, 468, 476, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 494, 494, 494, 495, 495, 495, 495, 495, 495, 495, 495, 495, 495, 495, 495, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496]","[443.0, 450.0, 458.5, 460.0, 462.5, 464.0, 469.0, 471.0, 471.5, 473.0, 475.0, 475.5, 478.0, 479.0, 480.0, 481.0, 483.0, 485.0, 486.5, 488.0, 489.0, 489.0, 490.0, 490.0, 491.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0, 493.0]"
4,"[50, 90, 0.5, 0.3]",499.0,"[492, 499, 502]","[475, 475, 475, 475, 478, 480, 480, 480, 480, 484, 484, 484, 485, 487, 487, 487, 487, 488, 488, 488, 489, 491, 491, 491, 491, 492, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 498, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499]","[443.5, 450.0, 454.0, 459.0, 461.5, 466.0, 468.0, 471.0, 472.0, 473.5, 474.0, 474.5, 476.0, 477.5, 479.0, 481.0, 482.0, 484.0, 484.0, 485.0, 486.0, 487.0, 487.0, 487.0, 487.0, 487.0, 487.0, 488.0, 488.5, 489.0, 489.0, 490.0, 491.0, 491.0, 491.0, 492.0, 492.0, 492.0, 492.0, 492.0, 493.0, 494.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0, 499.0]"
5,"[50, 90, 0.5, 0.6]",503.0,"[510, 503, 500]","[473, 473, 482, 482, 482, 482, 482, 483, 486, 486, 486, 486, 486, 487, 487, 489, 489, 489, 489, 493, 493, 493, 493, 495, 495, 495, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]","[445.5, 453.0, 457.5, 460.0, 461.5, 462.0, 465.5, 468.0, 468.5, 471.0, 473.5, 475.0, 477.0, 478.0, 479.0, 480.5, 481.0, 481.5, 482.5, 484.0, 484.5, 485.5, 486.0, 488.0, 488.0, 489.0, 489.0, 489.0, 490.0, 491.0, 491.0, 493.0, 493.0, 493.0, 493.5, 494.0, 494.0, 494.0, 494.0, 496.0, 496.0, 497.0, 498.0, 499.0, 499.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0, 502.0]"
6,"[50, 90, 0.4, 0.3]",501.0,"[501, 512, 497]","[478, 478, 478, 478, 478, 479, 479, 485, 488, 488, 488, 488, 488, 489, 489, 489, 490, 490, 493, 493, 493, 493, 493, 493, 495, 496, 496, 496, 496, 496, 496, 497, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]","[442.0, 447.5, 457.5, 458.5, 462.0, 466.0, 467.5, 470.0, 472.5, 473.5, 476.5, 477.5, 479.0, 480.5, 481.0, 482.0, 484.0, 487.0, 488.0, 489.0, 489.0, 489.0, 490.0, 490.0, 490.0, 490.0, 490.0, 491.0, 492.0, 493.0, 493.0, 493.0, 494.0, 495.0, 495.5, 496.0, 497.0, 497.0, 497.0, 497.0, 497.0, 497.0, 500.0, 500.0, 500.0, 500.0, 500.5, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0, 501.0]"
7,"[50, 90, 0.4, 0.6]",500.0,"[500, 501, 498]","[481, 481, 481, 481, 481, 482, 482, 482, 482, 483, 487, 487, 491, 492, 492, 492, 494, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]","[443.0, 446.0, 450.0, 454.0, 457.5, 464.5, 468.0, 469.0, 470.5, 473.0, 476.0, 477.0, 479.0, 481.5, 483.0, 484.5, 487.0, 488.0, 489.0, 490.0, 490.0, 490.0, 490.0, 491.0, 492.0, 492.0, 492.0, 494.0, 494.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 498.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
8,"[40, 60, 0.5, 0.3]",500.0,"[489, 501, 500]","[479, 479, 479, 479, 479, 481, 481, 489, 489, 489, 491, 491, 491, 491, 491, 492, 492, 492, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 496, 496, 496, 498, 498, 498, 498, 498, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]","[448.5, 454.0, 456.0, 460.5, 465.0, 469.0, 470.0, 474.0, 475.0, 477.0, 477.5, 479.0, 479.5, 480.0, 480.5, 481.5, 481.5, 483.0, 483.0, 483.0, 483.0, 484.0, 485.0, 486.0, 486.5, 488.5, 489.0, 490.0, 492.0, 492.0, 493.0, 494.0, 494.0, 494.0, 494.0, 494.0, 494.0, 494.0, 494.0, 494.0, 495.5, 496.0, 496.0, 496.0, 496.0, 496.0, 496.0, 496.0, 496.0, 496.0, 497.0, 498.0, 498.0, 498.0, 499.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
9,"[40, 60, 0.5, 0.6]",497.0,"[492, 509, 497]","[467, 468, 468, 478, 478, 479, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 489, 489, 489, 492, 492, 492, 492, 492, 492, 492, 492, 496, 496, 496, 496, 496, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497]","[449.5, 453.0, 458.0, 459.5, 462.5, 466.5, 469.5, 472.5, 474.5, 475.5, 476.0, 477.0, 478.0, 478.0, 479.0, 480.0, 482.0, 482.0, 482.0, 482.5, 483.0, 483.0, 483.0, 483.5, 484.0, 484.0, 485.0, 486.0, 486.0, 486.0, 487.0, 487.5, 488.0, 488.0, 488.0, 489.0, 489.0, 490.0, 490.0, 491.0, 491.0, 492.0, 492.0, 492.0, 492.0, 492.0, 492.5, 493.0, 493.0, 494.0, 494.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.0, 495.5]"
