,parameters,median best,best list,median history,median pop history
0,"[60, 60, 0.3, 0.6]",503.0,"[507, 503, 499]","[472, 475, 480, 480, 480, 480, 483, 483, 483, 483, 492, 492, 492, 492, 495, 496, 496, 496, 496, 496, 496, 496, 497, 498, 498, 498, 498, 498, 498, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503]","[443.0, 450, 454, 458, 460, 462, 464, 466, 468, 472, 474, 478, 479, 481, 483, 485, 485, 486, 487, 487, 488, 488, 489, 489, 490, 491, 492, 493, 494, 494, 495, 497, 497, 497, 497, 497, 497, 497, 498, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
1,"[60, 60, 0.3, 1.2]",502.0,"[501, 505, 502]","[471, 476, 476, 479, 482, 482, 482, 482, 482, 482, 485, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 502, 502]","[445.0, 452, 455, 459, 461, 465, 467, 469, 471, 471, 472, 474, 476, 477, 478, 480, 480, 480, 482, 484, 484, 486, 487, 487, 487, 487, 488, 489, 489, 490, 490, 490, 490, 493, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494]"
2,"[60, 60, 0.4, 0.6]",506.0,"[506, 514, 503]","[473, 477, 477, 477, 497, 497, 497, 497, 498, 498, 498, 498, 499, 500, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 504, 504, 504, 504, 504, 504, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 506, 506, 506, 506, 506]","[442.0, 451, 457, 462, 464, 466, 470, 473, 477, 479, 481, 484, 487, 490, 492, 492, 493, 494, 495, 495, 496, 496, 496, 497, 497, 497, 498, 499, 499, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502]"
3,"[60, 60, 0.4, 1.2]",493.0,"[511, 493, 493]","[474, 474, 474, 478, 479, 479, 482, 484, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 491, 491, 491, 491, 491, 491, 491, 491, 491, 491, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493, 493]","[448.0, 453, 456, 458, 461, 464, 466, 468, 470, 472, 474, 475, 477, 477, 480, 481, 481, 484, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 487, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 489, 490, 490]"
4,"[60, 90, 0.3, 0.6]",506.0,"[514, 506, 500]","[470, 481, 481, 481, 484, 486, 486, 486, 488, 488, 493, 498, 498, 498, 498, 498, 500, 502, 502, 502, 502, 502, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 503, 505, 505, 505, 505, 505, 505, 505, 505, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506]","[444.0, 449, 456, 461, 463, 465, 468, 469, 472, 475, 479, 481, 482, 486, 487, 487, 488, 490, 491, 493, 497, 497, 497, 498, 500, 500, 500, 500, 500, 500, 500, 500, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 503, 504, 504, 504, 505]"
5,"[60, 90, 0.3, 1.2]",500.0,"[494, 500, 504]","[471, 471, 471, 477, 477, 483, 483, 484, 489, 494, 494, 495, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]","[444.5, 453, 455, 461, 463, 466, 469, 470, 472, 474, 477, 481, 483, 488, 488, 489, 489, 489, 489, 490, 490, 490, 491, 492, 493, 494, 495, 496, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
6,"[60, 90, 0.4, 0.6]",508.0,"[508, 505, 516]","[476, 476, 476, 493, 493, 495, 495, 495, 495, 495, 495, 495, 496, 496, 496, 496, 498, 501, 501, 501, 501, 501, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508]","[445.5, 452, 455, 459, 464, 468, 469, 472, 474, 476, 478, 479, 481, 484, 486, 487, 488, 489, 490, 492, 494, 496, 496, 497, 498, 499, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 502, 506, 506, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508, 508]"
7,"[60, 90, 0.4, 1.2]",501.0,"[496, 501, 511]","[469, 470, 471, 478, 483, 488, 488, 488, 491, 492, 492, 492, 492, 496, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]","[443.0, 452, 457, 459, 461, 464, 467, 470, 474, 477, 480, 481, 483, 484, 486, 488, 491, 493, 493, 494, 496, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501]"
8,"[50, 60, 0.3, 0.6]",505.0,"[494, 505, 510]","[478, 478, 480, 481, 481, 481, 481, 482, 482, 487, 487, 487, 487, 488, 488, 490, 493, 493, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 499, 499, 499, 499, 499, 499, 499, 500, 500, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 501, 502, 503, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505, 505]","[444.0, 450, 456, 459, 463, 466, 468, 468, 470, 473, 475, 477, 477, 479, 480, 480, 482, 483, 483, 484, 484, 484, 486, 486, 486, 486, 486, 487, 488, 489, 489, 489, 490, 490, 490, 490, 490, 490, 491, 491, 491, 491, 492, 492, 493, 493, 493, 493, 493, 494, 494, 494, 495, 497, 497, 497, 497, 497, 497, 497, 497, 497]"
9,"[50, 60, 0.3, 1.2]",497.0,"[500, 497, 497]","[476, 476, 476, 476, 476, 480, 480, 482, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497]","[445.5, 451, 455, 457, 461, 463, 465, 469, 471, 474, 479, 482, 486, 488, 490, 492, 492, 494, 495, 495, 495, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497, 497]"
